x,y
109.0,41.0
2190.0,3518.0
41.0,15.0
307.0,188.0
307.0,188.0
1378.0,516.0
18633.0,28711.0
3796.0,1108.0
2473.0,820.0
366.0,2708.0
366.0,2708.0
246.0,77.0
18633.0,28711.0
245.0,18738.0
4625.0,4549.0
125.0,100.0
213.0,292.0
272.0,119.0
228.0,212.0
228.0,212.0
951.0,249529.0
3267.0,10796.0
3532.0,6218.0
2873.0,4521.0
2458.0,1718.0
165.0,42.0
165.0,42.0
283.0,341.0
225.0,106.0
994.0,3127.0
60.0,31.0
3829.0,2067.0
46.0,23.0
1715.0,1798.0
346.0,121.0
193.0,11.0
18.0,6.0
491.0,169.0
280.0,1102.0
587.0,365.0
3605.0,3561.0
112.0,348.0
992.0,2102.0
209.0,125.0
2356.0,2332.0
2356.0,2332.0
1072.0,39498.0
1415.0,3370.0
886.0,11023.0
41.0,8.0
77.0,68.0
853.0,291.0
50.0,1.0
568.0,1133.0
1430.0,1505.0
2569.0,6174.0
294.0,54.0
1510.0,2070.0
194.0,2186.0
650.0,11895.0
435.0,314.0
290.0,140.0
290.0,140.0
1130.0,1079.0
334.0,95.0
1330.0,494.0
346.0,265.0
839.0,1230.0
348.0,527.0
348.0,527.0
4622.0,10002.0
44.0,16.0
18634.0,28712.0
18634.0,28712.0
118.0,211.0
498.0,1004.0
702.0,41.0
410.0,190.0
38.0,30.0
194.0,216.0
209.0,243.0
29.0,9.0
24.0,7.0
147.0,21.0
220.0,96.0
379.0,3390.0
5001.0,873.0
5001.0,873.0
489.0,167.0
489.0,167.0
89.0,80.0
422.0,329.0
34.0,21.0
489.0,166.0
168.0,297.0
858.0,792.0
138.0,845.0
255.0,246.0
8815.0,8989.0
921.0,436.0
129.0,3323.0
459.0,33.0
947.0,948.0
343.0,390.0
179.0,2.0
574.0,3361.0
57.0,10.0
777.0,504.0
216.0,358.0
761.0,293.0
761.0,293.0
477.0,2694.0
786.0,835.0
182.0,111.0
57.0,13.0
731.0,727.0
3266.0,10796.0
746.0,505.0
4956.0,5345.0
1607.0,1012.0
156.0,17.0
572.0,258.0
3026.0,1932.0
205.0,57782.0
1510.0,2070.0
1851.0,1363.0
405.0,288.0
283.0,341.0
241.0,237.0
910.0,2447.0
544.0,409.0
572.0,258.0
2877.0,434.0
1965.0,10204.0
1965.0,10204.0
4415.0,5465.0
871.0,533.0
177.0,186.0
18634.0,28710.0
94.0,138.0
526.0,228.0
2294.0,464.0
55.0,133.0
4848.0,5307.0
196.0,194.0
196.0,194.0
580.0,182.0
411.0,244.0
1005.0,75533.0
6022.0,7739.0
831.0,1249.0
2816.0,3407.0
130.0,159.0
1414.0,697.0
551.0,718.0
1702.0,802.0
2816.0,3407.0
1338.0,2221.0
472.0,293.0
870.0,3410.0
111.0,139.0
817.0,9088.0
817.0,9088.0
271.0,555.0
288.0,750.0
851.0,1033.0
288.0,750.0
735.0,188.0
533.0,707.0
255.0,570.0
493.0,8483.0
1823.0,646.0
172.0,51.0
1351.0,285.0
616.0,412.0
848.0,506.0
1823.0,646.0
3022.0,1931.0
348.0,508.0
412.0,2420.0
348.0,508.0
348.0,508.0
348.0,508.0
304.0,57.0
3998.0,2548.0
3998.0,2548.0
194.0,2185.0
3022.0,1931.0
130.0,75.0
529.0,473.0
1399.0,299.0
2817.0,12829.0
2817.0,12829.0
24.0,7.0
462.0,305.0
3019.0,1931.0
72.0,2.0
3075.0,1197.0
102.0,5.0
156.0,31.0
1173.0,306.0
2775.0,1838.0
532.0,77.0
1005.0,75533.0
1005.0,75533.0
456.0,26.0
638.0,3277.0
205.0,57779.0
2014.0,2603.0
312.0,84.0
3019.0,1931.0
133.0,52.0
527.0,521.0
1603.0,1608.0
348.0,503.0
348.0,503.0
231.0,342.0
5081.0,8035.0
1949.0,10140.0
96.0,90.0
1617.0,489.0
3018.0,1931.0
4203.0,3743.0
379.0,127.0
279.0,67.0
253.0,1297.0
955.0,682.0
1851.0,2402.0
468.0,385.0
210.0,214.0
210.0,214.0
1233.0,1047.0
413.0,96.0
647.0,11898.0
435.0,314.0
435.0,314.0
348.0,500.0
348.0,500.0
348.0,500.0
348.0,500.0
463.0,2876.0
463.0,2876.0
853.0,290.0
1510.0,2070.0
1510.0,2070.0
644.0,119.0
802.0,1078.0
2964.0,2972.0
647.0,11896.0
766.0,10167.0
1674.0,1443.0
1674.0,1443.0
2713.0,4397.0
1519.0,25793.0
810.0,27331.0
348.0,492.0
