user,followers,Friends,Tweets,Retweets
hernanmorenoe,3150.0,3111.0,0,1
sismorresitent,455.0,330.0,0,1
Alezhas,345.0,891.0,0,1
anikka91,829.0,1691.0,1,4
bernalette1,2968.0,964.0,0,1
casaestudiante,5627.0,2035.0,0,1
rivenezuela,45.0,107.0,0,1
CRAranjuez,921.0,446.0,2,0
gedicager1,3482.0,4948.0,0,1
juanjomanzano,2626.0,200.0,0,1
Mariela29072206,27.0,97.0,0,3
JuanTxo71,7.0,144.0,0,7
DPRCubaOnu,1895.0,1061.0,0,1
linaarbelaez,2249.0,1043.0,0,1
KesselCaridad,22.0,25.0,0,1
FundacionRepsol,4220.0,78.0,1,0
atolema,345.0,601.0,0,1
pisorga,65.0,174.0,0,1
ArturoM99042741,4.0,74.0,0,1
aandreajimenezm,12.0,223.0,0,2
CONAPHI_Chile,251.0,515.0,0,2
pseverino_g,279.0,1293.0,0,3
prisciladiazco,835.0,1715.0,1,0
JuanPabloY2K,454.0,407.0,0,1
PipisGirl,130.0,747.0,0,1
aambros,2066.0,1507.0,1,14
vpalacios2,427.0,576.0,0,3
SchulbaumO,2253.0,2276.0,0,1
ExpresateSMPAD,372.0,699.0,0,1
legadosolidario,306.0,165.0,0,1
JoseAcero,1507.0,133.0,1,0
ckundaa,268.0,610.0,2,1
AuditoriaAGN,6693.0,167.0,2,0
AidyRoa,2321.0,875.0,0,1
javierramosl,148.0,237.0,0,1
AulaNRed,1559.0,1519.0,0,1
Fdo_Cabezas,282.0,981.0,0,2
cpazasenaeduco1,21.0,258.0,0,1
Elarkidelbarrio,558.0,1524.0,1,15
rgavendano,514.0,1364.0,0,1
CdtbMdf137,1661.0,4216.0,0,1
iesjoseplanes,1445.0,982.0,0,2
dipf94,127.0,626.0,0,1
IvanSanchezRaya,366.0,867.0,0,1
MRiberasoriano,55.0,55.0,0,1
consultoresmyp,119.0,644.0,0,1
palaeoecology,388.0,300.0,0,1
Gerardovel,1812.0,751.0,0,1
iagobueno,268.0,640.0,1,2
ONUMujeres,270239.0,863.0,2,0
embavenet,356.0,984.0,0,1
exovoyager,238.0,676.0,0,1
Deysis96042753,59.0,239.0,0,2
jmramonjaca,1178.0,1996.0,0,1
rmiranda1818,413.0,1887.0,0,1
saferbar,93.0,175.0,0,1
lorenacarvajal,487.0,1020.0,0,1
DaniloC74166145,384.0,868.0,0,1
asiet_lat,6275.0,3013.0,0,1
OIMChile,5365.0,3079.0,11,13
eseiap,145.0,279.0,0,1
LuisCordovi,68.0,124.0,0,1
BCMPSOE,148.0,126.0,3,0
JuntosporlaVida,791.0,819.0,0,5
PremioSacha,429.0,342.0,1,0
lianysrf,241.0,397.0,0,1
Camiytito,43.0,53.0,0,1
crespial,1297.0,253.0,1,0
Jhoyasacs,2.0,24.0,0,1
neusponspena,463.0,510.0,0,1
megajuanjopy,290.0,728.0,0,1
Funtrajusto1,123.0,256.0,0,1
CarreoYolicar,47.0,241.0,0,1
CamiSilver,197.0,446.0,0,1
ParraMMilena,187.0,779.0,0,1
ancorg80,70.0,64.0,0,1
ndequeiros,1042.0,348.0,0,4
cordovarei,83.0,320.0,0,1
EliEsnaola,764.0,1777.0,0,1
MargaChatwin,6.0,58.0,0,1
flopezsastre,136.0,298.0,0,1
jorge_edward,2058.0,4373.0,0,2
amoyafoss,210.0,162.0,2,0
GemmaLopezsoliz,25.0,37.0,0,1
luiswsg,239.0,803.0,0,1
fabhuelva,3365.0,272.0,17,0
Jaro1256,50.0,92.0,0,1
Francis32316467,32.0,79.0,0,1
cifelarioja,1141.0,266.0,1,0
